Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
San Jose,30,38,9,10,11,41,35,6,5,2,460,499,72,52,6,2004,18.0,220.281,13.768,16,-,0.765,0.9
Chicago,30,53,15,7,8,53,43,10,9,4,491,511,98,50,3,2003,24.955,210.08,14.005,15,-,0.561,2.142857142857143
Colorado,30,40,11,12,7,40,45,-5,8,7,482,409,96,52,5,2003,18.086,251.578,16.772,15,-,0.927,0.9166666666666666
Columbus,30,38,10,12,8,44,44,0,8,8,476,462,88,65,2,2003,20.011,243.756,16.25,15,-,0.812,0.8333333333333334
D.C.,30,39,10,11,9,38,36,2,8,5,530,508,67,69,4,2003,20.0,233.476,15.565,15,-,0.778,0.9090909090909091
Dallas,30,23,6,19,5,35,64,-29,10,6,509,393,102,52,6,2003,20.5,118.585,7.906,15,-,0.386,0.3157894736842105
Kansas City,30,42,11,10,9,48,44,4,6,6,422,431,84,58,2,2003,21.0,233.594,15.573,15,-,0.742,1.1
LAFC,30,36,9,12,9,35,35,0,8,3,494,468,85,52,3,2003,27.0,329.752,21.983,15,3,0.814,0.75
New England,30,45,12,9,9,55,47,8,5,4,458,483,65,45,5,2003,20.0,219.611,14.641,15,-,0.732,1.3333333333333333
New york,30,42,11,10,9,40,40,0,7,3,498,510,63,53,4,2003,25.0,237.326,15.822,15,-,0.633,1.1
San Jose,30,51,14,7,9,45,35,10,2,1,476,409,77,53,4,2003,18.0,156.98,10.465,15,-,0.581,2.0
Chicago,28,37,11,13,4,43,38,5,4,3,472,479,73,58,3,2002,24.955,180.908,12.922,14,-,0.518,0.8461538461538461
Colorado,28,43,13,11,4,43,48,-5,6,3,469,390,87,63,3,2002,18.086,289.633,20.688,14,-,1.144,1.1818181818181819
Columbus,28,38,11,12,5,44,43,1,5,2,482,470,93,60,4,2002,20.011,243.999,17.429,14,-,0.871,0.9166666666666666
D.C.,28,32,9,14,5,31,40,-9,6,5,492,442,99,69,4,2002,20.0,231.264,16.519,14,-,0.826,0.6428571428571429
Dallas,28,43,12,9,7,44,43,1,6,5,470,411,91,57,4,2002,20.5,183.702,13.122,14,-,0.64,1.3333333333333333
Kansas City,28,36,9,10,9,37,45,-8,6,1,362,442,92,47,6,2002,21.0,171.568,12.255,14,-,0.584,0.9
LAFC,28,51,16,9,3,44,33,11,5,3,456,407,68,53,5,2002,27.0,266.664,19.047,14,-,0.706,1.7777777777777777
New England,28,38,12,14,2,49,49,0,4,3,463,425,64,50,3,2002,20.0,236.973,16.927,14,-,0.846,0.8571428571428571
New york,28,35,11,15,2,41,47,-6,9,3,445,515,87,60,9,2002,25.0,254.074,18.148,14,-,0.726,0.7333333333333333
San Jose,28,45,14,11,3,45,35,10,6,5,448,383,75,55,3,2002,18.0,156.104,11.15,14,-,0.62,1.2727272727272727
Chicago,27,53,16,6,5,50,30,20,6,3,458,488,91,53,6,2001,24.955,228.438,16.317,14,-,0.654,2.6666666666666665
Colorado,26,23,5,13,8,36,47,-11,4,4,427,405,89,45,3,2001,18.086,214.249,16.481,13,-,0.911,0.38461538461538464
Columbus,26,45,13,7,6,49,36,13,3,2,374,418,72,40,6,2001,20.011,227.644,17.511,13,-,0.875,1.8571428571428572
